the_geom,si_si_s,field_1,pol_stn,totarea,nm_pol,murder,rape,gangrap,robbery,theft,asltmds,sxlhrsm,distrct,inspsnc,insp__m,in__w_f,cartodb_id,si_si_m,si_si_f,ai_si_s,ai_si_m,ai_si_f,hc_snc,hc_wrkm,hc_wrkf,cnst_sn,cnst_wm,cnst_wf,tl_shrt,totcrm,tsnc,twrk,long,lat
0101000020E6100000728A8EE4F24F5340D3307C444C893C40,8,0,POLICE STATION-CHITTARANJAN PARK,2659329.53735,CHITRANJAN PARK,2,6,1,35,442,19,7,North West,3,2,0,1,8,0,13,4,0,54,36,2,107,107,9,45,512,192,168,77.2492,28.53632
0101000020E61000002FDD240681455340CDE9B298D89C3C40,10,2,POLICE STATION-DABRI,3401013.42806,DABRI,8,28,0,79,240,26,16,North West,3,2,0,3,10,3,31,9,1,59,30,1,102,102,17,43,397,221,175,77.086,28.61268
0101000020E6100000D39FFD48114D53403A7AFCDEA6873C40,9,6,POLICE STATION-MALVIYA NAGAR,1379853.57234,MALVIYA NAGAR,3,28,1,33,694,63,15,South,3,3,0,7,16,2,18,10,1,57,22,1,135,135,11,64,837,237,201,77.20418,28.52989
0101000020E610000056CF49EF1B4F5340E960FD9FC3A43C40,7,9,POLICE STATION-CHANDNI MAHAL,5570696.13208,CHANDNI MAHAL,1,8,1,23,529,19,7,North West,3,2,0,10,6,0,8,5,0,16,22,0,81,81,11,11,588,122,127,77.23608,28.64361
0101000020E6100000FCE3BD6A654C53409526A5A0DBB33C40,10,10,POLICE STATION-MODEL TOWN,2689157.08508,MODEL TOWN,0,4,1,45,393,9,14,South,3,2,0,11,7,2,17,6,0,53,29,3,98,98,14,25,466,195,161,77.19369,28.70257
0101000020E6100000A9F6E978CC52534073D712F241A73C40,7,12,POLICE STATION-ANAND VIHAR,4558969.69225,ANANDVIHAR,10,14,0,99,457,24,15,North East,2,2,0,13,10,2,5,2,0,54,21,0,144,144,15,93,619,227,196,77.29373,28.65335
0101000020E610000098C0ADBB794E5340506B9A779CAA3C40,6,13,POLICE STATION-KASHMERE GATE,1627909.97434,KASHMERE GATE,0,9,3,17,340,17,12,South West,3,2,0,14,7,0,14,14,2,25,32,0,85,85,10,36,398,145,152,77.22618,28.66645
0101000020E610000062BEBC00FB505340E4F736FDD9873C40,21,14,POLICE STATION-GOVINDPURI,8992712.06018,GOVIND PURI,1,4,3,31,692,5,5,North,3,3,0,15,16,3,5,6,1,55,45,2,110,110,14,29,741,199,200,77.26532,28.53067
0101000020E61000008EE9094B3C4453405DFE43FAED9B3C40,6,16,POLICE STATION-BINDAPUR,2568079.50029,BINDAPUR,4,4,1,64,417,11,8,North West,3,2,0,17,5,2,12,9,1,63,24,2,106,106,12,43,509,198,163,77.06618,28.6091
0101000020E6100000371AC05B205153408E3BA583F58F3C40,16,19,POLICE STATION-NEW FRIENDS COLONY,4045386.71006,NEW FRIENDS COLONY,6,7,1,47,609,14,10,West,2,2,0,20,10,1,22,10,0,44,29,0,103,103,12,65,694,197,167,77.2676,28.56234
